key	file_count	files_sample
premium_6_year_label	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_7_button_month	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_button_year	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_header	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_items	2	ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift;ViewControllers/PremiumUpgrade/Variants/v8/PremiumConfiguration_v8.swift
premium_7_line2nd_month	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_line2nd_year	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_name_month	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_name_year	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_offer_max_lines	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_offer_month	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_offer_year	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_price_month	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_price_year	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_subs_display	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_subs_month	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_subs_year	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_title	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_7_year_label	3	ViewControllers/PremiumUpgrade/Variants/v16/PremiumConfiguration_v16.swift;ViewControllers/PremiumUpgrade/Variants/v17/PremiumConfiguration_v17.swift;ViewControllers/PremiumUpgrade/Variants/v7/PremiumConfiguration_v7.swift
premium_8_bottom_text	2	ViewControllers/PremiumUpgrade/Variants/v18/PremiumConfiguration_v18.swift;ViewControllers/PremiumUpgrade/Variants/v8/PremiumConfiguration_v8.swift
premium_8_button	2	ViewControllers/PremiumUpgrade/Variants/v18/PremiumConfiguration_v18.swift;ViewControllers/PremiumUpgrade/Variants/v8/PremiumConfiguration_v8.swift
